iter	Passed	Remaining
1433	42555	13087
1434	42584	13057
1435	42614	13027
1436	42643	12997
1437	42673	12968
1438	42702	12938
1439	42732	12908
1440	42760	12878
1441	42790	12849
1442	42818	12818
1443	42847	12788
1444	42875	12758
1445	42904	12729
1446	42932	12698
1447	42961	12668
1448	42990	12639
1449	43020	12609
1450	43050	12579
1451	43079	12550
1452	43108	12520
1453	43140	12491
1454	43169	12461
1455	43196	12430
1456	43226	12401
1457	43256	12371
1458	43284	12341
1459	43312	12311
1460	43342	12281
1461	43370	12251
1462	43402	12222
1463	43432	12193
1464	43461	12163
1465	43491	12133
1466	43519	12103
1467	43548	12073
1468	43576	12043
1469	43605	12013
1470	43635	11984
1471	43665	11954
1472	43694	11924
1473	43723	11895
1474	43752	11865
1475	43783	11835
1476	43811	11805
1477	43841	11776
1478	43870	11746
1479	43900	11716
1480	43928	11686
1481	43958	11656
1482	43987	11627
1483	44016	11597
1484	44045	11567
1485	44074	11537
1486	44102	11507
1487	44135	11478
1488	44168	11450
1489	44201	11421
1490	44232	11391
1491	44264	11362
1492	44297	11334
1493	44329	11305
1494	44358	11274
1495	44387	11245
1496	44417	11215
1497	44447	11186
1498	44476	11156
1499	44505	11126
1500	44535	11096
1501	44564	11067
1502	44595	11037
1503	44624	11007
1504	44652	10977
1505	44680	10947
1506	44709	10917
1507	44739	10888
1508	44768	10858
1509	44797	10828
1510	44826	10798
1511	44855	10768
1512	44885	10739
1513	44913	10709
1514	44941	10679
1515	44971	10649
1516	45000	10619
1517	45029	10589
1518	45058	10560
1519	45086	10530
1520	45115	10500
1521	45146	10470
1522	45174	10440
1523	45204	10411
1524	45233	10381
1525	45262	10351
1526	45292	10322
1527	45321	10292
1528	45351	10262
1529	45381	10233
1530	45412	10203
1531	45441	10173
1532	45470	10144
1533	45500	10114
1534	45530	10084
1535	45559	10055
1536	45588	10025
1537	45618	9995
1538	45646	9965
1539	45675	9935
1540	45703	9905
1541	45732	9876
1542	45761	9846
1543	45790	9816
1544	45819	9786
1545	45848	9756
1546	45877	9727
1547	45906	9697
1548	45935	9667
1549	45963	9637
1550	45993	9607
1551	46021	9578
1552	46050	9548
1553	46079	9518
1554	46108	9488
1555	46138	9458
1556	46167	9429
1557	46196	9399
1558	46225	9369
1559	46254	9339
1560	46283	9310
1561	46311	9280
1562	46340	9250
1563	46370	9220
1564	46401	9191
1565	46429	9161
1566	46459	9131
1567	46489	9102
1568	46518	9072
1569	46550	9043
1570	46579	9013
1571	46608	8983
1572	46638	8954
1573	46667	8924
1574	46695	8894
1575	46724	8864
1576	46754	8834
1577	46782	8805
1578	46812	8775
1579	46840	8745
1580	46870	8715
1581	46900	8686
1582	46929	8656
1583	46957	8626
1584	46986	8596
1585	47015	8567
1586	47043	8537
1587	47073	8507
1588	47103	8478
1589	47132	8448
1590	47160	8418
1591	47191	8388
1592	47220	8359
1593	47248	8329
1594	47277	8299
1595	47306	8269
1596	47336	8240
1597	47365	8210
1598	47394	8180
1599	47422	8150
1600	47451	8120
1601	47480	8091
1602	47510	8061
1603	47539	8031
1604	47570	8002
1605	47600	7972
1606	47628	7943
1607	47658	7913
1608	47689	7883
1609	47718	7854
1610	47747	7824
1611	47776	7794
1612	47806	7765
1613	47835	7735
1614	47864	7705
1615	47894	7676
1616	47923	7646
1617	47951	7616
1618	47982	7587
1619	48010	7557
1620	48041	7527
1621	48070	7497
1622	48099	7468
1623	48130	7438
1624	48160	7409
1625	48190	7379
1626	48220	7350
1627	48249	7320
1628	48278	7290
1629	48307	7260
1630	48336	7231
1631	48366	7201
1632	48395	7171
1633	48425	7142
1634	48452	7112
1635	48481	7082
1636	48511	7052
1637	48539	7023
1638	48569	6993
1639	48598	6963
1640	48626	6934
1641	48657	6904
1642	48687	6874
1643	48716	6845
1644	48748	6815
1645	48777	6786
1646	48806	6756
1647	48835	6726
1648	48864	6697
1649	48894	6667
1650	48923	6637
1651	48953	6608
1652	48983	6578
1653	49012	6548
1654	49039	6518
1655	49069	6489
1656	49097	6459
1657	49126	6429
1658	49157	6400
1659	49187	6370
1660	49219	6341
1661	49248	6311
